infraction_description,set_fine_amount,location2
PARK ON MUNICIPAL PROPERTY,30,2 ROWNTREE RD
PARK ON MUNICIPAL PROPERTY,30,2 ROWNTREE RD
PARK ON MUNICIPAL PROPERTY,30,2 ROWNTREE RD
