infraction_description,set_fine_amount,location2
PARK IN A FIRE ROUTE,250,38 MONTE KWINTER CRT
PARK IN A FIRE ROUTE,250,1350 DANFORTH RD
PARK IN A FIRE ROUTE,250,1340 DANFORTH RD
