set_fine_amount
30
100
30
100
30
100
50
100
50
100
450
100
30
30
30
30
30
100
50
30
100
50
30
30
30
30
30
100
30
30
50
100
50
50
30
100
30
100
30
30
30
100
30
30
100
100
30
30
100
30
30
100
100
30
30
30
30
100
100
30
30
30
30
30
60
30
30
30
30
30
30
30
30
30
30
30
30
30
30
50
30
30
30
30
30
30
30
30
100
30
30
30
30
30
30
30
50
30
30
30
50
30
30
30
30
30
30
30
30
30
50
30
30
30
30
30
50
30
50
30
30
30
30
30
30
30
30
30
50
30
30
30
100
100
30
30
100
100
100
30
150
100
30
30
30
30
50
30
30
150
30
30
30
30
30
30
30
30
30
30
50
30
30
30
50
30
30
30
30
30
30
30
30
50
30
30
30
30
30
100
50
30
30
30
30
50
30
30
30
30
30
30
30
50
30
30
100
30
30
30
30
50
100
30
50
30
30
30
50
30
30
30
30
30
100
30
30
50
30
30
30
30
30
50
450
30
30
30
100
30
30
30
30
30
30
30
30
30
30
30
30
30
30
30
30
30
30
30
30
30
30
30
450
30
30
30
30
30
30
30
30
40
30
30
30
30
30
30
30
30
30
30
30
30
30
30
30
30
30
30
30
30
30
30
30
30
30
30
30
30
30
50
30
30
30
30
30
30
30
30
30
30
30
30
30
30
30
30
30
30
30
30
30
30
30
50
30
30
50
30
30
50
30
30
30
30
50
30
30
30
30
30
30
30
30
30
30
30
30
30
30
30
30
30
30
30
30
50
30
30
30
40
30
40
30
40
40
40
30
30
250
30
50
40
40
30
30
30
40
30
50
40
40
40
30
50
30
30
40
30
50
150
40
40
40
30
150
40
40
40
30
40
40
30
150
40
40
40
40
40
40
40
30
40
40
40
40
40
30
100
40
40
40
40
40
40
40
40
40
40
40
40
40
40
100
40
40
40
40
40
40
40
30
40
30
40
40
40
40
40
40
40
40
30
40
30
40
40
40
30
40
40
40
40
40
30
30
40
40
40
30
30
40
100
40
40
40
40
40
40
40
30
50
40
40
40
40
40
30
30
40
30
40
50
50
40
40
40
30
40
40
40
40
40
40
40
30
40
40
40
30
30
40
30
40
40
40
40
30
40
50
40
40
50
40
40
40
50
40
40
40
40
40
40
40
30
40
40
40
40
40
40
40
30
40
40
30
30
40
40
40
40
40
40
30
30
250
40
30
40
40
40
40
40
40
40
40
40
40
50
40
40
40
100
40
30
40
250
30
40
40
40
40
50
50
30
40
40
40
30
50
40
40
40
30
40
30
30
40
30
40
40
30
30
40
40
40
40
30
40
40
40
40
30
40
30
40
30
40
40
30
40
40
40
40
30
40
40
30
30
40
40
40
30
40
30
30
30
40
40
40
40
40
40
30
30
40
40
40
30
40
40
100
30
30
40
30
30
30
40
30
30
40
30
30
40
40
40
30
40
30
30
30
30
30
30
40
30
30
30
40
30
30
30
40
30
100
30
30
30
30
30
30
40
30
40
30
30
30
30
40
40
30
30
40
30
40
30
30
30
40
40
30
30
30
30
40
40
40
30
30
40
30
30
40
30
30
40
40
50
30
40
40
40
30
40
40
40
40
50
30
40
30
40
30
40
30
40
40
30
40
40
40
30
30
30
40
30
30
30
30
40
30
40
30
30
30
40
50
30
30
30
30
40
