infraction_description,set_fine_amount,location2
PARK-WITHIN 3M OF FIRE HYDRANT,100,46 BIRCHVIEW CRES
PARK-WITHIN 3M OF FIRE HYDRANT,100,ARGYLE ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,28 GLENWOOD AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,203 DOWNSVIEW PARK BLVD
PARK-WITHIN 3M OF FIRE HYDRANT,100,70 GILMOUR AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,HOUSEY ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,16 BROOKERS LANE
PARK-WITHIN 3M OF FIRE HYDRANT,100,94 SUMACH ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,500 UNIVERSITY AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,393 UNIVERSITY AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,40 ORCHARD VIEW BLVD
PARK-WITHIN 3M OF FIRE HYDRANT,100,620 UNIVERSITY AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,620 UNIVERSITY AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,105 BENTWORTH AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,ELMHURST AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,85 GLENDALE AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,99 YORKVILLE AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,111 BOND ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,200 WELLINGTON ST W
PARK-WITHIN 3M OF FIRE HYDRANT,100,597 SAMMON AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,UNIVERSITY AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,732 LOGAN AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,9 TEMPERANCE ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,14 CLARENCE SQ
PARK-WITHIN 3M OF FIRE HYDRANT,100,220 MANITOBA ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,3 PARK HOME AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,UNIVERSITY AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,80 GROSVENOR ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,340 CHURCH ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,33 WILLCOCKS ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,500 WELLINGTON ST W
PARK-WITHIN 3M OF FIRE HYDRANT,100,255 HURON ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,18 GRENVILLE ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,186 A SPADINA AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,43 ELM ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,54 CREWE AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,SETTLERS RD
PARK-WITHIN 3M OF FIRE HYDRANT,100,1491 DANFORTH AVE
PARK-WITHIN 3M OF FIRE HYDRANT,100,28 MCMURRICH ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,5453 YONGE ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,1497 YONGE ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,15 DUNCAN ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,21 ST JOSEPH ST
PARK-WITHIN 3M OF FIRE HYDRANT,100,184 PEARL ST
