tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***90413,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0046,NR,41 ST HUBERT AVE,,,ON
***49875,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0047,NR,983 SHAW ST,,,ON
***32845,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0047,OPP,25 BROCKVILLE ST,,,ON
***90414,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0047,NR,44 ST HUBERT AVE,,,ON
***90415,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0047,NR,44 ST HUBERT AVE,,,ON
***65191,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0048,S/S,SHERWOOD AVE,W/O,MOUNT PLEASANT RD,ON
***84502,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0048,OPP,124 ORCHARD VIEW BLVD,,,ON
***84503,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0048,OPP,124 ORCHARD VIEW BLVD,,,ON
***90416,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0048,NR,46 ST HUBERT AVE,,,ON
***49876,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0049,NR,919 SHAW ST,,,ON
***90417,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0049,NR,46 ST HUBERT AVE,,,ON
***65192,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0050,S/S,SHERWOOD AVE,W/O,MOUNT PLEASANT RD,ON
***84504,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0050,OPP,124 ORCHARD VIEW BLVD,,,ON
***90418,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0050,NR,54 ST HUBERT AVE,,,ON
***90419,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0051,NR,56 ST HUBERT AVE,,,ON
***65193,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0052,S/S,SHERWOOD AVE,E/O,YONGE ST,ON
***49878,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0053,NR,36 MANCHESTER AVE,,,ON
***84505,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0053,NR,99 HILLSDALE AVE W,,,ON
***65194,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0054,S/S,SHERWOOD AVE,E/O,YONGE ST,ON
***32846,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0054,NR,67 WHISTLE POST ST,,,ON
***65195,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0055,S/S,SHERWOOD AVE,E/O,YONGE ST,ON
***32847,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0055,NR,67 WHISTLE POST ST,,,ON
***64763,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0057,NR,572 INDIAN GRV,,,ON
***64121,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0057,NR,83 NORTHERN DANCER BLVD,,,ON
***84506,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0057,NR,150 HIGHBOURNE RD,,,ON
