infraction_description,set_fine_amount,location2
PARK MACHINE-REQD FEE NOT PAID,30,940 DANFORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,2 BRENTWOOD RD N
PARK MACHINE-REQD FEE NOT PAID,30,940 DANFORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,474 WELLINGTON ST W
PARK MACHINE-REQD FEE NOT PAID,30,222 ELM ST
PARK MACHINE-REQD FEE NOT PAID,30,110 ELM ST
PARK MACHINE-REQD FEE NOT PAID,30,2 BRENTWOOD RD N
PARK MACHINE-REQD FEE NOT PAID,30,474 WELLINGTON ST W
PARK MACHINE-REQD FEE NOT PAID,30,FRONT ST E
PARK MACHINE-REQD FEE NOT PAID,30,919 DANFORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,474 WELLINGTON ST W
PARK MACHINE-REQD FEE NOT PAID,30,SIMCOE ST
PARK MACHINE-REQD FEE NOT PAID,30,1971 QUEEN ST E
PARK MACHINE-REQD FEE NOT PAID,30,87 FRONT ST E
PARK MACHINE-REQD FEE NOT PAID,30,110 ELM ST
PARK MACHINE-REQD FEE NOT PAID,30,11 CHURCH ST
PARK MACHINE-REQD FEE NOT PAID,30,110 ELM ST
PARK MACHINE-REQD FEE NOT PAID,30,760 DANFORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,638 DANFORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,628 DANFORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,CHURCH ST
PARK MACHINE-REQD FEE NOT PAID,30,449 PARLIAMENT ST
PARK MACHINE-REQD FEE NOT PAID,30,431 PARLIAMENT ST
PARK MACHINE-REQD FEE NOT PAID,30,40 BEDFORD RD
PARK MACHINE-REQD FEE NOT PAID,30,SCARBORO BEACH BLVD
PARK MACHINE-REQD FEE NOT PAID,30,409 PARLIAMENT ST
PARK MACHINE-REQD FEE NOT PAID,30,21 PRINCE ARTHUR AVE
PARK MACHINE-REQD FEE NOT PAID,30,418 PARLIAMENT ST
PARK MACHINE-REQD FEE NOT PAID,30,25 PRINCE ARTHUR AVE
PARK MACHINE-REQD FEE NOT PAID,30,29 PRINCE ARTHUR AVE
PARK MACHINE-REQD FEE NOT PAID,30,33 PRINCE ARTHUR AVE
PARK MACHINE-REQD FEE NOT PAID,30,432 PARLIAMENT ST
PARK MACHINE-REQD FEE NOT PAID,30,35 PRINCE ARTHUR AVE
PARK MACHINE-REQD FEE NOT PAID,30,442 PARLIAMENT ST
PARK MACHINE-REQD FEE NOT PAID,30,15 PRINCE ARTHUR AVE
PARK MACHINE-REQD FEE NOT PAID,30,LA PLANTE AVE
PARK MACHINE-REQD FEE NOT PAID,30,443 DANFORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,15 PRINCE ARTHUR AVE
PARK MACHINE-REQD FEE NOT PAID,30,437 DANFORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,LA PLANTE AVE
PARK MACHINE-REQD FEE NOT PAID,30,208 SIMCOE ST
PARK MACHINE-REQD FEE NOT PAID,30,HAYTER ST
PARK MACHINE-REQD FEE NOT PAID,30,28 BIRCHVIEW BLVD
PARK MACHINE-REQD FEE NOT PAID,30,213 DANFORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,208 SIMCOE ST
PARK MACHINE-REQD FEE NOT PAID,30,213 DANFORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,28 BIRCHVIEW BLVD
PARK MACHINE-REQD FEE NOT PAID,30,208 SIMCOE ST
PARK MACHINE-REQD FEE NOT PAID,30,200 DANFORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,28 BIRCHVIEW BLVD
PARK MACHINE-REQD FEE NOT PAID,30,83 REDPATH AVE
PARK MACHINE-REQD FEE NOT PAID,30,28 BIRCHVIEW BLVD
PARK MACHINE-REQD FEE NOT PAID,30,95 REDPATH AVE
PARK MACHINE-REQD FEE NOT PAID,30,1530 DANFORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,31 ST JOSEPH ST
PARK MACHINE-REQD FEE NOT PAID,30,315 BLOOR ST W
PARK MACHINE-REQD FEE NOT PAID,30,98 LILLIAN ST
PARK MACHINE-REQD FEE NOT PAID,30,1509 DANFORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,44 ST JOSEPH ST
PARK MACHINE-REQD FEE NOT PAID,30,522 UNIVERSITY AVE
PARK MACHINE-REQD FEE NOT PAID,30,1470 DANFORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,90 BROADVIEW AVE
PARK MACHINE-REQD FEE NOT PAID,30,10 ST JOSEPH ST
PARK MACHINE-REQD FEE NOT PAID,30,44 DUNFIELD AVE
PARK MACHINE-REQD FEE NOT PAID,30,1 ST JOSEPH ST
PARK MACHINE-REQD FEE NOT PAID,30,77 DUNFIELD AVE
PARK MACHINE-REQD FEE NOT PAID,30,21 HOWARD ST
PARK MACHINE-REQD FEE NOT PAID,30,1245 DANFORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,220 RICHMOND ST W
PARK MACHINE-REQD FEE NOT PAID,30,34 HOWARD ST
PARK MACHINE-REQD FEE NOT PAID,30,1236 DANFORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,40 HOWARD ST
PARK MACHINE-REQD FEE NOT PAID,30,15 BREADALBANE ST
PARK MACHINE-REQD FEE NOT PAID,30,30 NELSON ST
PARK MACHINE-REQD FEE NOT PAID,30,21 SCOLLARD ST
PARK MACHINE-REQD FEE NOT PAID,30,15 BREADALBANE ST
PARK MACHINE-REQD FEE NOT PAID,30,6 SCOLLARD ST
PARK MACHINE-REQD FEE NOT PAID,30,15 BREADALBANE ST
PARK MACHINE-REQD FEE NOT PAID,30,21 SCOLLARD ST
PARK MACHINE-REQD FEE NOT PAID,30,21 SCOLLARD ST
PARK MACHINE-REQD FEE NOT PAID,30,166 PEARL ST
PARK MACHINE-REQD FEE NOT PAID,30,166 PEARL ST
PARK MACHINE-REQD FEE NOT PAID,30,111 SCOLLARD ST
PARK MACHINE-REQD FEE NOT PAID,30,88 YORKVILLE AVE
PARK MACHINE-REQD FEE NOT PAID,30,3360 YONGE ST
PARK MACHINE-REQD FEE NOT PAID,30,3274 YONGE ST
PARK MACHINE-REQD FEE NOT PAID,30,3248 YONGE ST
PARK MACHINE-REQD FEE NOT PAID,30,140 YORKVILLE AVE
PARK MACHINE-REQD FEE NOT PAID,30,3227 YONGE ST
PARK MACHINE-REQD FEE NOT PAID,30,140 YORKVILLE AVE
PARK MACHINE-REQD FEE NOT PAID,30,3227 YONGE ST
PARK MACHINE-REQD FEE NOT PAID,30,291 THE KINGSWAY
PARK MACHINE-REQD FEE NOT PAID,30,291 THE KINGSWAY
PARK MACHINE-REQD FEE NOT PAID,30,291 THE KINGSWAY
PARK MACHINE-REQD FEE NOT PAID,30,62 CUMBERLAND ST
PARK MACHINE-REQD FEE NOT PAID,30,172 OSSINGTON AVE
PARK MACHINE-REQD FEE NOT PAID,30,693 QUEEN ST W
PARK MACHINE-REQD FEE NOT PAID,30,693 QUEEN ST W
PARK MACHINE-REQD FEE NOT PAID,30,685 QUEEN ST W
PARK MACHINE-REQD FEE NOT PAID,30,475 QUEEN ST W
PARK MACHINE-REQD FEE NOT PAID,30,190 BOROUGH DR
PARK MACHINE-REQD FEE NOT PAID,30,25 TOWN CENTRE CRT
PARK MACHINE-REQD FEE NOT PAID,30,25 TOWN CENTRE CRT
PARK MACHINE-REQD FEE NOT PAID,30,25 TOWN CENTRE CRT
PARK MACHINE-REQD FEE NOT PAID,30,EASTERN AVE
PARK MACHINE-REQD FEE NOT PAID,30,PALACE ST
PARK MACHINE-REQD FEE NOT PAID,30,GRAND TRUNK CRES
PARK MACHINE-REQD FEE NOT PAID,30,484 FRONT ST E
PARK MACHINE-REQD FEE NOT PAID,30,484 FRONT ST E
PARK MACHINE-REQD FEE NOT PAID,30,484 FRONT ST E
PARK MACHINE-REQD FEE NOT PAID,30,BAYVIEW AVE
PARK MACHINE-REQD FEE NOT PAID,30,288 RONCESVALLES AVE
PARK MACHINE-REQD FEE NOT PAID,30,15 MARINE PARADE DR
PARK MACHINE-REQD FEE NOT PAID,30,86 LOMBARD ST
PARK MACHINE-REQD FEE NOT PAID,30,437 RONCESVALLES AVE
PARK MACHINE-REQD FEE NOT PAID,30,106 MUTUAL ST
PARK MACHINE-REQD FEE NOT PAID,30,465 FRONT ST E
PARK MACHINE-REQD FEE NOT PAID,30,80 COOPERAGE ST
PARK MACHINE-REQD FEE NOT PAID,30,36 TORONTO ST
PARK MACHINE-REQD FEE NOT PAID,30,147 A RONCESVALLES AVE
PARK MACHINE-REQD FEE NOT PAID,30,41 LOWER RIVER ST
PARK MACHINE-REQD FEE NOT PAID,30,29 SOUTH STATION ST
PARK MACHINE-REQD FEE NOT PAID,30,41 LOWER RIVER ST
PARK MACHINE-REQD FEE NOT PAID,30,29 SOUTH STATION ST
PARK MACHINE-REQD FEE NOT PAID,30,29 SOUTH STATION ST
PARK MACHINE-REQD FEE NOT PAID,30,YORKLAND BLVD
PARK MACHINE-REQD FEE NOT PAID,30,328 WARREN RD
PARK MACHINE-REQD FEE NOT PAID,30,244 CHRISTIE ST
PARK MACHINE-REQD FEE NOT PAID,30,2021 HARBORD ST
PARK MACHINE-REQD FEE NOT PAID,30,ST GERMAIN AVE
PARK MACHINE-REQD FEE NOT PAID,30,118 MERCHANTS' WHARF
PARK MACHINE-REQD FEE NOT PAID,30,GLENDORA AVE
PARK MACHINE-REQD FEE NOT PAID,30,39 NIAGARA ST
PARK MACHINE-REQD FEE NOT PAID,30,130 ROSE VALLEY CRES
PARK MACHINE-REQD FEE NOT PAID,30,130 ROSE VALLEY CRES
PARK MACHINE-REQD FEE NOT PAID,30,64 JEFFERSON AVE
PARK MACHINE-REQD FEE NOT PAID,30,64 JEFFERSON AVE
PARK MACHINE-REQD FEE NOT PAID,30,64 JEFFERSON AVE
PARK MACHINE-REQD FEE NOT PAID,30,570 FRONT ST W
PARK MACHINE-REQD FEE NOT PAID,30,570 FRONT ST W
PARK MACHINE-REQD FEE NOT PAID,30,121 JEFFERSON AVE
PARK MACHINE-REQD FEE NOT PAID,30,1345 QUEEN ST E
PARK MACHINE-REQD FEE NOT PAID,30,797 KING ST W
PARK MACHINE-REQD FEE NOT PAID,30,570 WELLINGTON ST W
PARK MACHINE-REQD FEE NOT PAID,30,1345 QUEEN ST E
PARK MACHINE-REQD FEE NOT PAID,30,570 WELLINGTON ST W
PARK MACHINE-REQD FEE NOT PAID,30,3095 DUNDAS ST W
PARK MACHINE-REQD FEE NOT PAID,30,570 WELLINGTON ST W
PARK MACHINE-REQD FEE NOT PAID,30,38 JOE SHUSTER WAY
PARK MACHINE-REQD FEE NOT PAID,30,38 JOE SHUSTER WAY
PARK MACHINE-REQD FEE NOT PAID,30,552 ADELAIDE ST W
PARK MACHINE-REQD FEE NOT PAID,30,485 WELLINGTON ST W
PARK MACHINE-REQD FEE NOT PAID,30,60 JOE SHUSTER WAY
PARK MACHINE-REQD FEE NOT PAID,30,443 ADELAIDE ST W
PARK MACHINE-REQD FEE NOT PAID,30,3430 YONGE ST
PARK MACHINE-REQD FEE NOT PAID,30,444 ADELAIDE ST W
PARK MACHINE-REQD FEE NOT PAID,30,462 WELLINGTON ST W
PARK MACHINE-REQD FEE NOT PAID,30,462 WELLINGTON ST W
PARK MACHINE-REQD FEE NOT PAID,30,2001 V3+ BLOOR ST W
PARK MACHINE-REQD FEE NOT PAID,30,410 ADELAIDE ST W
PARK MACHINE-REQD FEE NOT PAID,30,2100 V3+ BLOOR ST W
PARK MACHINE-REQD FEE NOT PAID,30,380 WELLINGTON ST W
PARK MACHINE-REQD FEE NOT PAID,30,2100 V3+ BLOOR ST W
PARK MACHINE-REQD FEE NOT PAID,30,URSULA FRANKLIN ST
PARK MACHINE-REQD FEE NOT PAID,30,1179 QUEEN ST W
PARK MACHINE-REQD FEE NOT PAID,30,URSULA FRANKLIN ST
PARK MACHINE-REQD FEE NOT PAID,30,1179 QUEEN ST W
PARK MACHINE-REQD FEE NOT PAID,30,255 HURON ST
PARK MACHINE-REQD FEE NOT PAID,30,1159 QUEEN ST W
PARK MACHINE-REQD FEE NOT PAID,30,BROOKDALE AVE
PARK MACHINE-REQD FEE NOT PAID,30,300 HURON ST
PARK MACHINE-REQD FEE NOT PAID,30,300 HURON ST
PARK MACHINE-REQD FEE NOT PAID,30,381 FRONT ST W
PARK MACHINE-REQD FEE NOT PAID,30,54 STEWART ST
PARK MACHINE-REQD FEE NOT PAID,30,320 HURON ST
PARK MACHINE-REQD FEE NOT PAID,30,371 FRONT ST W
PARK MACHINE-REQD FEE NOT PAID,30,21 PIRANDELLO ST
PARK MACHINE-REQD FEE NOT PAID,30,3246 YONGE ST
PARK MACHINE-REQD FEE NOT PAID,30,842 DUNDAS ST W
PARK MACHINE-REQD FEE NOT PAID,30,PIRANDELLO ST
PARK MACHINE-REQD FEE NOT PAID,30,1093 QUEEN ST W
PARK MACHINE-REQD FEE NOT PAID,30,691 SPADINA AVE
PARK MACHINE-REQD FEE NOT PAID,30,22 COLLEGE ST
PARK MACHINE-REQD FEE NOT PAID,30,273 BLOOR ST W
PARK MACHINE-REQD FEE NOT PAID,30,125 WESTERN BATTERY RD
PARK MACHINE-REQD FEE NOT PAID,30,1083 QUEEN ST W
PARK MACHINE-REQD FEE NOT PAID,30,100 WESTERN BATTERY RD
PARK MACHINE-REQD FEE NOT PAID,30,1033 QUEEN ST W
PARK MACHINE-REQD FEE NOT PAID,30,1687 AVENUE RD
PARK MACHINE-REQD FEE NOT PAID,30,22 WESTERN BATTERY RD
PARK MACHINE-REQD FEE NOT PAID,30,FRONT ST E
PARK MACHINE-REQD FEE NOT PAID,30,1033 QUEEN ST W
PARK MACHINE-REQD FEE NOT PAID,30,FRONT ST E
PARK MACHINE-REQD FEE NOT PAID,30,19 WESTERN BATTERY RD
PARK MACHINE-REQD FEE NOT PAID,30,FRONT ST E
PARK MACHINE-REQD FEE NOT PAID,30,15 ELM ST
PARK MACHINE-REQD FEE NOT PAID,30,1717 AVENUE RD
PARK MACHINE-REQD FEE NOT PAID,30,135 AVENUE RD
PARK MACHINE-REQD FEE NOT PAID,30,180 BLOOR ST W
PARK MACHINE-REQD FEE NOT PAID,30,1719 AVENUE RD
PARK MACHINE-REQD FEE NOT PAID,30,44 OSSINGTON AVE
PARK MACHINE-REQD FEE NOT PAID,30,1711 AVENUE RD
PARK MACHINE-REQD FEE NOT PAID,30,28 NELSON ST
PARK MACHINE-REQD FEE NOT PAID,30,30 NELSON ST
PARK MACHINE-REQD FEE NOT PAID,30,35 DUNCAN ST
PARK MACHINE-REQD FEE NOT PAID,30,4 SHAW ST
PARK MACHINE-REQD FEE NOT PAID,30,1983 QUEEN ST E
PARK MACHINE-REQD FEE NOT PAID,30,1974 QUEEN ST E
PARK MACHINE-REQD FEE NOT PAID,30,633 QUEEN ST W
PARK MACHINE-REQD FEE NOT PAID,30,2947 BLOOR ST W
PARK MACHINE-REQD FEE NOT PAID,30,71 OSSINGTON AVE
PARK MACHINE-REQD FEE NOT PAID,30,200 DAVENPORT RD
PARK MACHINE-REQD FEE NOT PAID,30,112 KENILWORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,2938 BLOOR ST W
PARK MACHINE-REQD FEE NOT PAID,30,983 PAPE AVE
PARK MACHINE-REQD FEE NOT PAID,30,627 QUEEN ST W
PARK MACHINE-REQD FEE NOT PAID,30,21 CANNIFF ST
PARK MACHINE-REQD FEE NOT PAID,30,983 PAPE AVE
PARK MACHINE-REQD FEE NOT PAID,30,21 CANNIFF ST
PARK MACHINE-REQD FEE NOT PAID,30,591 QUEEN ST W
PARK MACHINE-REQD FEE NOT PAID,30,963 PAPE AVE
PARK MACHINE-REQD FEE NOT PAID,30,1971 KENILWORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,26 DUNCAN ST
PARK MACHINE-REQD FEE NOT PAID,30,2161 QUEEN ST E
PARK MACHINE-REQD FEE NOT PAID,30,2183 QUEEN ST E
PARK MACHINE-REQD FEE NOT PAID,30,394 OAKWOOD AVE
PARK MACHINE-REQD FEE NOT PAID,30,2189 QUEEN ST E
PARK MACHINE-REQD FEE NOT PAID,30,163 DANFORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,2150 BLOOR ST W
PARK MACHINE-REQD FEE NOT PAID,30,196 SPADINA AVE
PARK MACHINE-REQD FEE NOT PAID,30,2140 BLOOR ST W
PARK MACHINE-REQD FEE NOT PAID,30,196 SPADINA AVE
PARK MACHINE-REQD FEE NOT PAID,30,2118 BLOOR ST W
PARK MACHINE-REQD FEE NOT PAID,30,74 FRASER AVE
PARK MACHINE-REQD FEE NOT PAID,30,200 DANFORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,2100 BLOOR ST W
PARK MACHINE-REQD FEE NOT PAID,30,2100 BLOOR ST W
PARK MACHINE-REQD FEE NOT PAID,30,323 DAVENPORT RD
PARK MACHINE-REQD FEE NOT PAID,30,200 DANFORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,149 OSSINGTON AVE
PARK MACHINE-REQD FEE NOT PAID,30,97 SHAW ST
PARK MACHINE-REQD FEE NOT PAID,30,74 FRASER AVE
PARK MACHINE-REQD FEE NOT PAID,30,301 DAVENPORT RD
PARK MACHINE-REQD FEE NOT PAID,30,70 FRASER AVE
PARK MACHINE-REQD FEE NOT PAID,30,2100 BLOOR ST W
PARK MACHINE-REQD FEE NOT PAID,30,200 DANFORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,364 QUEEN ST W
PARK MACHINE-REQD FEE NOT PAID,30,230 DANFORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,364 QUEEN ST W
PARK MACHINE-REQD FEE NOT PAID,30,41 FRASER AVE
PARK MACHINE-REQD FEE NOT PAID,30,2109 BLOOR ST W
PARK MACHINE-REQD FEE NOT PAID,30,160 MUTUAL ST
PARK MACHINE-REQD FEE NOT PAID,30,286 DANFORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,1311 ST CLAIR AVE W
PARK MACHINE-REQD FEE NOT PAID,30,336 QUEEN ST W
PARK MACHINE-REQD FEE NOT PAID,30,209 VICTORIA ST
PARK MACHINE-REQD FEE NOT PAID,30,382 SPADINA AVE
PARK MACHINE-REQD FEE NOT PAID,30,294 DANFORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,2109 BLOOR ST W
PARK MACHINE-REQD FEE NOT PAID,30,136 AVENUE RD
PARK MACHINE-REQD FEE NOT PAID,30,370 HURON ST
PARK MACHINE-REQD FEE NOT PAID,30,1010 PAPE AVE
PARK MACHINE-REQD FEE NOT PAID,30,2115 BLOOR ST W
PARK MACHINE-REQD FEE NOT PAID,30,1101 QUEEN ST W
PARK MACHINE-REQD FEE NOT PAID,30,108 MUTUAL ST
PARK MACHINE-REQD FEE NOT PAID,30,351 QUEEN ST W
PARK MACHINE-REQD FEE NOT PAID,30,108 MUTUAL ST
PARK MACHINE-REQD FEE NOT PAID,30,77 AVENUE RD
PARK MACHINE-REQD FEE NOT PAID,30,986 PAPE AVE
PARK MACHINE-REQD FEE NOT PAID,30,278 QUEEN ST W
PARK MACHINE-REQD FEE NOT PAID,30,LISGAR ST
PARK MACHINE-REQD FEE NOT PAID,30,106 MUTUAL ST
PARK MACHINE-REQD FEE NOT PAID,30,320 DANFORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,2150 BLOOR ST W
PARK MACHINE-REQD FEE NOT PAID,30,1648 DUFFERIN ST
PARK MACHINE-REQD FEE NOT PAID,30,278 QUEEN ST W
PARK MACHINE-REQD FEE NOT PAID,30,1193 DUNDAS ST W
PARK MACHINE-REQD FEE NOT PAID,30,YONGE ST
PARK MACHINE-REQD FEE NOT PAID,30,317 COLLEGE ST
PARK MACHINE-REQD FEE NOT PAID,30,1648 DUFFERIN ST
PARK MACHINE-REQD FEE NOT PAID,30,1207 KING ST W
PARK MACHINE-REQD FEE NOT PAID,30,259 JARVIS ST
PARK MACHINE-REQD FEE NOT PAID,30,1215 DUNDAS ST W
PARK MACHINE-REQD FEE NOT PAID,30,278 QUEEN ST W
PARK MACHINE-REQD FEE NOT PAID,30,315 THE KINGSWAY
PARK MACHINE-REQD FEE NOT PAID,30,240 JARVIS ST
PARK MACHINE-REQD FEE NOT PAID,30,2187 BLOOR ST W
PARK MACHINE-REQD FEE NOT PAID,30,16 ANGLESEY BLVD
PARK MACHINE-REQD FEE NOT PAID,30,2187 BLOOR ST W
PARK MACHINE-REQD FEE NOT PAID,30,1241 DUNDAS ST W
PARK MACHINE-REQD FEE NOT PAID,30,16 ANGLESEY BLVD
PARK MACHINE-REQD FEE NOT PAID,30,489 COLLEGE ST
PARK MACHINE-REQD FEE NOT PAID,30,446 DANFORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,599 ST CLAIR AVE W
PARK MACHINE-REQD FEE NOT PAID,30,230 BEVERLEY ST
PARK MACHINE-REQD FEE NOT PAID,30,315 THE KINGSWAY
PARK MACHINE-REQD FEE NOT PAID,30,597 ST CLAIR AVE W
PARK MACHINE-REQD FEE NOT PAID,30,YONGE ST
PARK MACHINE-REQD FEE NOT PAID,30,528 DANFORTH AVE
PARK MACHINE-REQD FEE NOT PAID,30,579 ST CLAIR AVE W
PARK MACHINE-REQD FEE NOT PAID,30,YONGE ST
PARK MACHINE-REQD FEE NOT PAID,30,300 THE KINGSWAY
