infraction_description,set_fine_amount,location2
PARK PROHIBITED TIME NO PERMIT,***84167,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0040,NR,53 ST HUBERT AVE,,,ON,53 ST HUBERT AVE
PARK PROHIBITED TIME NO PERMIT,***41796,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0041,NR,2 COOPER ST,,,ON,2 COOPER ST
PARK PROHIBITED TIME NO PERMIT,***65189,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0041,S/S,KEEWATIN AVE,E/O,MOUNT PLEASANT RD,ON,KEEWATIN AVE
PARK PROHIBITED TIME NO PERMIT,***84168,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0041,NR,53 ST HUBERT AVE,,,ON,53 ST HUBERT AVE
PARK PROHIBITED TIME NO PERMIT,***84499,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0041,NR,46 HELENDALE AVE,,,ON,46 HELENDALE AVE
PARK PROHIBITED TIME NO PERMIT,***49872,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0042,NR,24 MANCHESTER AVE,,,ON,24 MANCHESTER AVE
PARK PROHIBITED TIME NO PERMIT,***64759,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0042,OPP,191 MEDLAND CRES,,,ON,191 MEDLAND CRES
PARK PROHIBITED TIME NO PERMIT,***84169,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0042,NR,53 ST HUBERT AVE,,,ON,53 ST HUBERT AVE
PARK PROHIBITED TIME NO PERMIT,***84170,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0042,NR,45 ST HUBERT AVE,,,ON,45 ST HUBERT AVE
PARK PROHIBITED TIME NO PERMIT,***64760,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0043,OPP,191 MEDLAND CRES,,,ON,191 MEDLAND CRES
PARK PROHIBITED TIME NO PERMIT,***32843,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0043,NR,49 BELLEVILLE ST,,,ON,49 BELLEVILLE ST
PARK PROHIBITED TIME NO PERMIT,***84171,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0043,NR,45 ST HUBERT AVE,,,ON,45 ST HUBERT AVE
PARK PROHIBITED TIME NO PERMIT,***84500,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0043,OPP,92 ORCHARD VIEW BLVD,,,ON,92 ORCHARD VIEW BLVD
PARK PROHIBITED TIME NO PERMIT,***49873,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0044,NR,18 MANCHESTER AVE,,,ON,18 MANCHESTER AVE
PARK PROHIBITED TIME NO PERMIT,***64761,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0044,OPP,191 MEDLAND CRES,,,ON,191 MEDLAND CRES
PARK PROHIBITED TIME NO PERMIT,***65190,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0044,S/S,SHERWOOD AVE,E/O,MOUNT PLEASANT RD,ON,SHERWOOD AVE
PARK PROHIBITED TIME NO PERMIT,***84172,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0044,NR,41 ST HUBERT AVE,,,ON,41 ST HUBERT AVE
PARK PROHIBITED TIME NO PERMIT,***49874,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0045,NR,2 MANCHESTER AVE,,,ON,2 MANCHESTER AVE
PARK PROHIBITED TIME NO PERMIT,***64762,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0045,OPP,191 MEDLAND CRES,,,ON,191 MEDLAND CRES
PARK PROHIBITED TIME NO PERMIT,***32844,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0045,NR,11 BELLEVILLE ST,,,ON,11 BELLEVILLE ST
PARK PROHIBITED TIME NO PERMIT,***84173,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0045,NR,41 ST HUBERT AVE,,,ON,41 ST HUBERT AVE
PARK PROHIBITED TIME NO PERMIT,***84174,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0045,NR,41 ST HUBERT AVE,,,ON,41 ST HUBERT AVE
PARK PROHIBITED TIME NO PERMIT,***84501,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0045,NR,101 ORCHARD VIEW BLVD,,,ON,101 ORCHARD VIEW BLVD
PARK PROHIBITED TIME NO PERMIT,***90413,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0046,NR,41 ST HUBERT AVE,,,ON,41 ST HUBERT AVE
PARK PROHIBITED TIME NO PERMIT,***49875,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0047,NR,983 SHAW ST,,,ON,983 SHAW ST
PARK PROHIBITED TIME NO PERMIT,***32845,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0047,OPP,25 BROCKVILLE ST,,,ON,25 BROCKVILLE ST
PARK PROHIBITED TIME NO PERMIT,***90414,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0047,NR,44 ST HUBERT AVE,,,ON,44 ST HUBERT AVE
PARK PROHIBITED TIME NO PERMIT,***90415,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0047,NR,44 ST HUBERT AVE,,,ON,44 ST HUBERT AVE
PARK PROHIBITED TIME NO PERMIT,***65191,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0048,S/S,SHERWOOD AVE,W/O,MOUNT PLEASANT RD,ON,SHERWOOD AVE
PARK PROHIBITED TIME NO PERMIT,***84502,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0048,OPP,124 ORCHARD VIEW BLVD,,,ON,124 ORCHARD VIEW BLVD
PARK PROHIBITED TIME NO PERMIT,***84503,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0048,OPP,124 ORCHARD VIEW BLVD,,,ON,124 ORCHARD VIEW BLVD
PARK PROHIBITED TIME NO PERMIT,***90416,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0048,NR,46 ST HUBERT AVE,,,ON,46 ST HUBERT AVE
PARK PROHIBITED TIME NO PERMIT,***49876,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0049,NR,919 SHAW ST,,,ON,919 SHAW ST
PARK PROHIBITED TIME NO PERMIT,***90417,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0049,NR,46 ST HUBERT AVE,,,ON,46 ST HUBERT AVE
PARK PROHIBITED TIME NO PERMIT,***65192,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0050,S/S,SHERWOOD AVE,W/O,MOUNT PLEASANT RD,ON,SHERWOOD AVE
PARK PROHIBITED TIME NO PERMIT,***84504,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0050,OPP,124 ORCHARD VIEW BLVD,,,ON,124 ORCHARD VIEW BLVD
PARK PROHIBITED TIME NO PERMIT,***90418,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0050,NR,54 ST HUBERT AVE,,,ON,54 ST HUBERT AVE
PARK PROHIBITED TIME NO PERMIT,***90419,20220101,29,PARK PROHIBITED TIME NO PERMIT,30,0051,NR,56 ST HUBERT AVE,,,ON,56 ST HUBERT AVE
